object_name    obs_date             freq  file_name                             comment
J1300+8054     2020-03-08     2284000000  J1300+8054_S_2020_03_08_pet_map.fits  distance = 10.8
J1200+1157     2010-11-10(2)  2258990000  J1200+1157_S_2010_11_10_pet_map.fits  distance = 8.5
J0832+1832     2014-06-09     2291875000  J0832+1832_S_2014_06_09_pus_map.fits  distance = 14.9
J0832+1832     2017-06-10     2291875000  J0832+1832_S_2017_06_10_kor_map.fits  distance = 14.4
J0140-3756     2002-05-14     2301974375  J0140-3756_S_2002_05_14_yyk_map.fits  distance = 152.8
J0016-0015     2017-04-28     2291875000  J0016-0015_S_2017_04_28_pus_map.fits  distance = 297.2
J0224+7655     2006-02-16     2305490000  J0224+7655_S_2006_02_16_pet_map.fits  distance = 297.6
J1709-2226     2014-12-20     2291875000  J1709-2226_S_2014_12_20_pus_map.fits  distance = 147.7
J0814+6431     1995-04-19     2266896250  J0814+6431_S_1995_04_19_yyk_map.fits  distance = 120.6
J0637-3536     2002-01-31     2301974375  J0637-3536_S_2002_01_31_yyk_map.fits  distance = 149.0
J0637-3536     2002-05-14     2301974375  J0637-3536_S_2002_05_14_yyk_map.fits  distance = 7.2
J0629+8451     2020-03-08     2284000000  J0629+8451_S_2020_03_08_pet_map.fits  distance = 14.1
J0629+8451     2006-02-23     2305490000  J0629+8451_S_2006_02_23_pet_map.fits  distance = 5.1
J2038+5119     2007-01-11     2309474375  J2038+5119_S_2007_01_11_yyk_map.fits  distance = 5.0
J0604+2021     2002-01-31     2301974375  J0604+2021_S_2002_01_31_yyk_map.fits  distance = 127.1
J1451+6357     2015-01-23     2291875000  J1451+6357_S_2015_01_23_pus_map.fits  distance = 108.8
J0359+6005     1994-08-12     2266896250  J0359+6005_S_1994_08_12_yyk_map.fits  distance = 23.1
J0622+8719     2020-03-08     2284000000  J0622+8719_S_2020_03_08_pet_map.fits  distance = 9.2
J1316+6726     1995-04-19     2266896250  J1316+6726_S_1995_04_19_yyk_map.fits  distance = 117.7
