object_name    obs_date              freq  file_name                             comment
J2000-1748     2014-01-29     4.344e+09    J2000-1748_C_2014_01_29_pet_map.fits  distance = 6.1
J0316+3124     2016-06-14     4.344e+09    J0316+3124_C_2016_06_14_pet_map.fits  distance = 68.4
J1823-3724     2020-12-03     4.344e+09    J1823-3724_C_2020_12_03_pet_map.fits  distance = 12.4
J1710-3529     2019-10-28     4.344e+09    J1710-3529_C_2019_10_28_pet_map.fits  distance = 10.2
J0815-2325     2016-06-19     4.344e+09    J0815-2325_C_2016_06_19_pet_map.fits  distance = 7.0
J1952+5813     2021-02-15     4.344e+09    J1952+5813_C_2021_02_15_pet_map.fits  distance = 4.1
J1732-1917     2019-10-25     4.344e+09    J1732-1917_C_2019_10_25_pet_map.fits  distance = 119.9
J0029+6100     2016-08-21     4.344e+09    J0029+6100_C_2016_08_21_pet_map.fits  distance = 21.6
J1454-1210     2019-08-08     4.344e+09    J1454-1210_C_2019_08_08_pet_map.fits  distance = 4.5
J1445-1634     2022-07-03(2)  4.352e+09    J1445-1634_C_2022_07_03_pet_map.fits  distance = 7.6
J2208-4509     2018-06-05     4.344e+09    J2208-4509_C_2018_06_05_pet_map.fits  distance = 8.5
J2235+0022     2022-08-03(3)  4.352e+09    J2235+0022_C_2022_08_03_pet_map.fits  distance = 5.1
J0719-0906     2022-07-30     4.352e+09    J0719-0906_C_2022_07_30_pet_map.fits  distance = 4.1
J0727-3604     2022-07-29     4.352e+09    J0727-3604_C_2022_07_29_pet_map.fits  distance = 12.0
J0727-3604     2016-08-14     4.344e+09    J0727-3604_C_2016_08_14_pet_map.fits  distance = 5.0
J1605-1139     2021-09-27     4.352e+09    J1605-1139_C_2021_09_27_pet_map.fits  distance = 6.4
J1728+2212     2016-05-05(2)  4.344e+09    J1728+2212_C_2016_05_05_pet_map.fits  distance = 5.1
J1145+6958     2015-08-27(2)  4.344e+09    J1145+6958_C_2015_08_27_pet_map.fits  distance = 249.0
J1450-4335     2014-02-07     4.344e+09    J1450-4335_C_2014_02_07_pet_map.fits  distance = 5.0
J2023+3929     2022-12-18     4.352e+09    J2023+3929_C_2022_12_18_pet_map.fits  distance = 5.0
J2351+2820     2014-01-29     4.344e+09    J2351+2820_C_2014_01_29_pet_map.fits  snr = 8.4
J0640-3409     2020-10-02     4.344e+09    J0640-3409_C_2020_10_02_pet_map.fits  distance = 7.1
J1252+1139     2015-12-08     4.344e+09    J1252+1139_C_2015_12_08_pet_map.fits  distance = 11.3
J1831+1450     2022-06-23(2)  4.352e+09    J1831+1450_C_2022_06_23_pet_map.fits  distance = 4.5
J1435-1654     2022-07-26     4.352e+09    J1435-1654_C_2022_07_26_pet_map.fits  distance = 5.1
J1342+602B     2016-01-05(2)  4.344e+09    J1342+602B_C_2016_01_05_pet_map.fits  distance = 55.1
J0541+3046     2021-09-27     4.352e+09    J0541+3046_C_2021_09_27_pet_map.fits  distance = 40.4
J0548+3824     2021-09-27     4.352e+09    J0548+3824_C_2021_09_27_pet_map.fits  distance = 71.8
J0439-3200     2015-11-16     4.344e+09    J0439-3200_C_2015_11_16_pet_map.fits  distance = 6.0
J0006-2801     2022-11-29     4.352e+09    J0006-2801_C_2022_11_29_pet_map.fits  distance = 5.0
J0006-2801     2018-08-29     4.344e+09    J0006-2801_C_2018_08_29_pet_map.fits  distance = 8.6
J1024-1530     2021-09-26     4.352e+09    J1024-1530_C_2021_09_26_pet_map.fits  distance = 5.0
J2326-3011     2016-06-05     4.344e+09    J2326-3011_C_2016_06_05_pet_map.fits  distance = 7.0
J0621-1910     2016-05-16     4.344e+09    J0621-1910_C_2016_05_16_pet_map.fits  distance = 4.1
J2335+6109     2016-08-07     4.344e+09    J2335+6109_C_2016_08_07_pet_map.fits  distance = 5.0
J2240-3341     2020-12-03     4.344e+09    J2240-3341_C_2020_12_03_pet_map.fits  distance = 9.2
J2331-2728     2015-08-24     4.344e+09    J2331-2728_C_2015_08_24_pet_map.fits  distance = 6.1
J2203-3123     2021-09-21     4.352e+09    J2203-3123_C_2021_09_21_pet_map.fits  distance = 12.5
J1959-3938     2020-12-03     4.344e+09    J1959-3938_C_2020_12_03_pet_map.fits  distance = 4.1
J0721+7120     2022-12-01     4.352e+09    J0721+7120_C_2022_12_01_pet_map.fits  distance = 4.5
J1335-3911     2016-08-21     4.344e+09    J1335-3911_C_2016_08_21_pet_map.fits  distance = 5.4
J1340-3114     2022-08-05     4.352e+09    J1340-3114_C_2022_08_05_pet_map.fits  distance = 9.8
J0715-1359     2021-09-27     4.352e+09    J0715-1359_C_2021_09_27_pet_map.fits  distance = 5.1
J1041-4422     2013-03-26     4.35997e+09  J1041-4422_C_2013_03_26_pet_map.fits  distance = 8.5
J1027-0649     2016-08-07     4.344e+09    J1027-0649_C_2016_08_07_pet_map.fits  distance = 6.7
J0446-3542     2016-01-29     4.344e+09    J0446-3542_C_2016_01_29_pet_map.fits  distance = 9.2
J1919-3757     2020-12-03     4.344e+09    J1919-3757_C_2020_12_03_pet_map.fits  distance = 5.0
J0833-1242     2015-11-09     4.344e+09    J0833-1242_C_2015_11_09_pet_map.fits  distance = 4.1
J0806-2151     2013-02-08     4.15997e+09  J0806-2151_C_2013_02_08_pet_map.fits  distance = 292.1
J0258-3327     2019-07-24     4.344e+09    J0258-3327_C_2019_07_24_pet_map.fits  distance = 4.5
J2336-3744     2021-09-21     4.352e+09    J2336-3744_C_2021_09_21_pet_map.fits  distance = 5.0
J2336-3744     2022-07-07     4.352e+09    J2336-3744_C_2022_07_07_pet_map.fits  distance = 9.2
J0630+6922     2022-07-30     4.352e+09    J0630+6922_C_2022_07_30_pet_map.fits  distance = 8.1
J0829-4902     2018-06-12     4.344e+09    J0829-4902_C_2018_06_12_pet_map.fits  distance = 17.1
J1223+7953     2013-11-22     4.97938e+09  J1223+7953_C_2013_11_22_lic_map.fits  distance = 19.6
J1301-3713     2020-11-14     4.344e+09    J1301-3713_C_2020_11_14_pet_map.fits  distance = 4.1
J1654-1510     2019-10-28     4.344e+09    J1654-1510_C_2019_10_28_pet_map.fits  distance = 7.1
J0945-3057     2021-09-26     4.352e+09    J0945-3057_C_2021_09_26_pet_map.fits  distance = 5.7
J0945-3057     2022-07-31     4.352e+09    J0945-3057_C_2022_07_31_pet_map.fits  distance = 9.1
